"filename", "language", "JSON", "JavaScript JSX", "Markdown", "HTML", "XML", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\config\db.js", "JavaScript", 0, 0, 0, 0, 0, 10, 0, 0, 4, 14
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\controller\auth.js", "JavaScript", 0, 0, 0, 0, 0, 64, 0, 8, 9, 81
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\controller\notif.js", "JavaScript", 0, 0, 0, 0, 0, 39, 0, 0, 6, 45
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\controller\user.js", "JavaScript", 0, 0, 0, 0, 0, 35, 0, 2, 5, 42
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\index.js", "JavaScript", 0, 0, 0, 0, 0, 16, 0, 3, 5, 24
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\middlewares\authenticate.js", "JavaScript", 0, 0, 0, 0, 0, 15, 0, 1, 4, 20
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\package-lock.json", "JSON", 1746, 0, 0, 0, 0, 0, 0, 0, 1, 1747
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\package.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\routes\authRoute.js", "JavaScript", 0, 0, 0, 0, 0, 11, 0, 0, 8, 19
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\routes\notifRoute.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 6, 13
"c:\Users\haikal.hendrawan\monevTI-V2\backEnd\routes\userRoute.js", "JavaScript", 0, 0, 0, 0, 0, 7, 0, 0, 5, 12
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\CHANGELOG.md", "Markdown", 0, 0, 44, 0, 0, 0, 0, 0, 31, 75
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\LICENSE.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\package-lock.json", "JSON", 33657, 0, 0, 0, 0, 0, 0, 0, 1, 33658
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\package.json", "JSON", 90, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_flag_de.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_flag_en.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_flag_fr.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_notification_chat.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\haikal.hendrawan\monevTI-V2\frontEnd\public\assets\icons\ic_notification_mail.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
