Date : 2023-10-13 11:08:50
Directory : c:\Users\haikal.hendrawan\monevTI-V2
Total : 183 files,  41347 codes, 410 comments, 1038 blanks, all 42795 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          6 |     35,542 |          0 |          6 |     35,548 |
| JavaScript         |        126 |      5,575 |        401 |        972 |      6,948 |
| XML                |         46 |        110 |          0 |          7 |        117 |
| Markdown           |          2 |         61 |          0 |         36 |         97 |
| HTML               |          1 |         24 |          5 |          9 |         38 |
| JavaScript JSX     |          1 |         22 |          4 |          7 |         33 |
| JSON with Comments |          1 |         13 |          0 |          1 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                      |        183 |     41,347 |        410 |      1,038 |     42,795 |
| . (Files)                                                                                              |          1 |          6 |          0 |          1 |          7 |
| backEnd                                                                                                |         11 |      1,973 |         14 |         54 |      2,041 |
| backEnd (Files)                                                                                        |          3 |      1,785 |          3 |          7 |      1,795 |
| backEnd\config                                                                                         |          1 |         10 |          0 |          4 |         14 |
| backEnd\controller                                                                                     |          3 |        138 |         10 |         20 |        168 |
| backEnd\middlewares                                                                                    |          1 |         15 |          1 |          4 |         20 |
| backEnd\routes                                                                                         |          3 |         25 |          0 |         19 |         44 |
| frontEnd                                                                                               |        171 |     39,368 |        396 |        983 |     40,747 |
| frontEnd (Files)                                                                                       |          5 |     33,821 |          0 |         39 |     33,860 |
| frontEnd\public                                                                                        |         48 |        154 |          5 |         17 |        176 |
| frontEnd\public (Files)                                                                                |          2 |         44 |          5 |         10 |         59 |
| frontEnd\public\assets                                                                                 |         46 |        110 |          0 |          7 |        117 |
| frontEnd\public\assets (Files)                                                                         |          7 |          7 |          0 |          0 |          7 |
| frontEnd\public\assets\icons                                                                           |         38 |         63 |          0 |          6 |         69 |
| frontEnd\public\assets\icons (Files)                                                                   |          8 |          8 |          0 |          0 |          8 |
| frontEnd\public\assets\icons\navbar                                                                    |         30 |         55 |          0 |          6 |         61 |
| frontEnd\public\assets\illustrations                                                                   |          1 |         40 |          0 |          1 |         41 |
| frontEnd\src                                                                                           |        118 |      5,393 |        391 |        927 |      6,711 |
| frontEnd\src (Files)                                                                                   |          5 |        174 |         49 |         38 |        261 |
| frontEnd\src\_mock                                                                                     |          4 |        120 |          5 |         19 |        144 |
| frontEnd\src\components                                                                                |         26 |        756 |         78 |        144 |        978 |
| frontEnd\src\components\chart                                                                          |          3 |        217 |         29 |         34 |        280 |
| frontEnd\src\components\color-utils                                                                    |          5 |        167 |         11 |         26 |        204 |
| frontEnd\src\components\iconify                                                                        |          2 |         14 |          3 |          6 |         23 |
| frontEnd\src\components\label                                                                          |          3 |         99 |         10 |         19 |        128 |
| frontEnd\src\components\loading                                                                        |          1 |         19 |          0 |          3 |         22 |
| frontEnd\src\components\logo                                                                           |          2 |         69 |         11 |         16 |         96 |
| frontEnd\src\components\nav-section                                                                    |          3 |         80 |          6 |         15 |        101 |
| frontEnd\src\components\scroll-to-top                                                                  |          2 |         10 |          1 |          6 |         17 |
| frontEnd\src\components\scrollbar                                                                      |          3 |         55 |          5 |         13 |         73 |
| frontEnd\src\components\svg-color                                                                      |          2 |         26 |          2 |          6 |         34 |
| frontEnd\src\config                                                                                    |          1 |          6 |          0 |          2 |          8 |
| frontEnd\src\context                                                                                   |          1 |         12 |          0 |          7 |         19 |
| frontEnd\src\hooks                                                                                     |          5 |         92 |          5 |         33 |        130 |
| frontEnd\src\hooks (Files)                                                                             |          4 |         85 |          4 |         30 |        119 |
| frontEnd\src\hooks\display                                                                             |          1 |          7 |          1 |          3 |         11 |
| frontEnd\src\layouts                                                                                   |         17 |        934 |         81 |        162 |      1,177 |
| frontEnd\src\layouts\auth                                                                              |          2 |         89 |          7 |         19 |        115 |
| frontEnd\src\layouts\dashboard                                                                         |         13 |        820 |         70 |        136 |      1,026 |
| frontEnd\src\layouts\dashboard (Files)                                                                 |          2 |         38 |          4 |         12 |         54 |
| frontEnd\src\layouts\dashboard\footer                                                                  |          1 |         15 |          0 |          3 |         18 |
| frontEnd\src\layouts\dashboard\header                                                                  |          8 |        624 |         56 |         98 |        778 |
| frontEnd\src\layouts\dashboard\nav                                                                     |          2 |        143 |         10 |         23 |        176 |
| frontEnd\src\layouts\simple                                                                            |          2 |         25 |          4 |          7 |         36 |
| frontEnd\src\pages                                                                                     |         11 |        769 |         47 |        147 |        963 |
| frontEnd\src\sections                                                                                  |         29 |      1,765 |         88 |        271 |      2,124 |
| frontEnd\src\sections\@dashboard                                                                       |         27 |      1,666 |         84 |        252 |      2,002 |
| frontEnd\src\sections\@dashboard\app                                                                   |         10 |        550 |         38 |         98 |        686 |
| frontEnd\src\sections\@dashboard\blog                                                                  |          4 |        211 |         11 |         28 |        250 |
| frontEnd\src\sections\@dashboard\iasset                                                                |          4 |        430 |         11 |         71 |        512 |
| frontEnd\src\sections\@dashboard\products                                                              |          6 |        334 |         18 |         40 |        392 |
| frontEnd\src\sections\@dashboard\user                                                                  |          3 |        141 |          6 |         15 |        162 |
| frontEnd\src\sections\auth                                                                             |          2 |         99 |          4 |         19 |        122 |
| frontEnd\src\sections\auth\login                                                                       |          2 |         99 |          4 |         19 |        122 |
| frontEnd\src\theme                                                                                     |         16 |        644 |         29 |         66 |        739 |
| frontEnd\src\theme (Files)                                                                             |          6 |        402 |         18 |         42 |        462 |
| frontEnd\src\theme\overrides                                                                           |         10 |        242 |         11 |         24 |        277 |
| frontEnd\src\utils                                                                                     |          3 |        121 |          9 |         38 |        168 |
+--------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                               | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\config\db.js                                              | JavaScript         |         10 |          0 |          4 |         14 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\controller\auth.js                                        | JavaScript         |         64 |          8 |          9 |         81 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\controller\notif.js                                       | JavaScript         |         39 |          0 |          6 |         45 |
| c:\Users\haikal.hendrawan\monevTI-V2\backEnd\controller\user.js                                        | JavaScript         |         35 |          2 |          5 |         42 |
